Country,Population Aged 0 to 14 (%),Population Aged 60 and Over (%),Population density,Population(in millions),Female Population(in millions),Male Population(in millions),Sex ratio (males per 100 females)
Afghanistan,42.9,3.9,65.7,42.65,21.12,21.53,102.0
Albania,16.8,23.5,101.9,2.79,1.41,1.38,97.8
Algeria,30.3,10.0,19.7,46.81,22.94,23.87,104.1
Andorra,11.9,23.2,174.3,0.08,0.04,0.04,104.6
Angola,44.4,4.6,30.4,37.89,19.14,18.75,98.0
Antigua and Barbuda,17.8,17.7,213.1,0.09,0.05,0.04,90.8
Argentina,21.6,16.8,16.4,45.7,23.02,22.68,98.5
Armenia,19.2,20.4,104.5,2.97,1.59,1.38,86.7
Australia,17.8,23.5,3.5,26.71,13.46,13.25,98.5
Austria,14.2,27.9,110.5,9.12,4.63,4.49,97.0
Azerbaijan,21.8,14.2,125.1,10.34,5.27,5.07,96.1
Bahamas,17.9,17.0,74.9,0.4,0.21,0.19,91.4
Bahrain,18.7,6.7,2052.4,1.61,0.61,1.0,163.4
Bangladesh,28.0,9.5,1333.4,173.56,88.22,85.34,96.7
Barbados,17.2,23.3,656.9,0.28,0.15,0.14,92.1
Belarus,16.3,25.0,44.6,9.06,4.84,4.22,87.3
Belgium,16.0,27.2,387.7,11.74,5.95,5.79,97.3
Belize,26.6,8.0,18.3,0.42,0.21,0.21,101.8
Benin,41.6,5.0,128.3,14.46,7.21,7.25,100.6
Bhutan,20.9,9.6,20.6,0.79,0.37,0.42,114.8
Bolivia,29.8,8.5,11.5,12.41,6.19,6.22,100.4
Bosnia and Herzegovina,13.0,30.2,61.8,3.16,1.66,1.51,90.8
Botswana,32.1,6.1,4.4,2.52,1.26,1.26,99.4
Brazil,19.7,16.1,25.4,212.0,107.7,104.3,96.8
Brunei,20.8,10.9,80.3,0.46,0.22,0.25,113.2
Bulgaria,14.5,28.6,62.3,6.76,3.49,3.27,93.8
Burkina Faso,41.8,4.3,86.1,23.55,11.82,11.73,99.3
Burundi,44.7,3.9,541.3,14.05,7.07,6.98,98.7
Cape Verde,25.5,10.6,130.2,0.52,0.26,0.27,103.5
Cambodia,29.8,9.6,97.4,17.64,9.0,8.64,96.1
Cameroon,41.4,4.4,62.5,29.12,14.61,14.51,99.3
Canada,15.1,26.6,4.4,39.74,20.01,19.74,98.6
Central African Republic,49.0,3.6,8.6,5.33,2.77,2.56,92.3
Chad,46.1,3.5,16.1,20.3,10.12,10.18,100.6
Chile,17.0,19.6,26.2,19.76,9.94,9.82,98.8
China,16.0,20.6,147.8,1419.32,696.3,723.02,103.8
Colombia,20.3,14.6,47.1,52.89,26.79,26.1,97.4
Comoros,37.1,6.7,465.7,0.87,0.43,0.44,101.2
Congo,40.4,5.0,18.5,6.33,3.17,3.17,100.0
Costa Rica,18.8,17.5,100.5,5.13,2.6,2.53,97.7
Croatia,13.9,30.5,69.3,3.88,2.01,1.87,93.2
Cuba,15.3,24.0,102.8,10.98,5.56,5.42,97.4
Cyprus,16.1,20.0,147.0,1.36,0.67,0.68,101.5
Czech Republic,15.4,26.5,139.1,10.74,5.44,5.29,97.3
Côte d’Ivoire,40.9,4.3,100.4,31.93,15.69,16.25,103.6
North Korea,18.9,18.1,220.1,26.5,13.39,13.11,97.9
Democratic Republic of the Congo,46.0,4.8,48.2,109.28,55.06,54.22,98.5
Denmark,15.7,27.1,141.0,5.98,3.01,2.97,98.8
Djibouti,29.2,7.6,50.4,1.17,0.59,0.58,98.3
